Vector Size, Broadcast Time (seconds)
7360, 1.0002e-05
7370, 9.987e-06
7380, 9.601e-06
7390, 9.764e-06
7400, 9.658e-06
7410, 9.671e-06
7420, 9.868e-06
7430, 9.882e-06
7440, 9.689e-06
7450, 9.729e-06
7460, 1.039e-05
7470, 1.0166e-05
7480, 1.0115e-05
7490, 1.0237e-05
7500, 1.014e-05
7510, 9.798e-06
7520, 9.892e-06
7530, 1.2498e-05
7540, 9.873e-06
7550, 9.892e-06
7560, 1.0026e-05
7570, 1.2508e-05
7580, 1.0015e-05
7590, 1.005e-05
7600, 9.484e-06
7610, 1.0046e-05
7620, 9.455e-06
7630, 9.64e-06
7640, 9.636e-06
7650, 1.0549e-05
7660, 9.763e-06
7670, 9.863e-06
7680, 9.709e-06
7690, 9.842e-06
7700, 9.65e-06
7710, 9.813e-06
7720, 9.974e-06
7730, 9.79e-06
7740, 9.54e-06
7750, 9.543e-06
7760, 9.594e-06
7770, 9.695e-06
7780, 9.739e-06
7790, 9.6e-06
7800, 9.667e-06
7810, 9.7e-06
7820, 9.765e-06
7830, 9.916e-06
7840, 1.0608e-05
7850, 9.869e-06
7860, 1.0096e-05
7870, 9.842e-06
7880, 9.707e-06
7890, 9.651e-06
7900, 9.392e-06
7910, 9.481e-06
7920, 9.653e-06
7930, 9.557e-06
7940, 9.659e-06
7950, 9.534e-06
7960, 9.867e-06
7970, 9.505e-06
7980, 9.594e-06
7990, 1.0006e-05
8000, 1.0471e-05
8010, 2.3296e-05
8020, 1.0255e-05
8030, 9.75e-06
8040, 1.0305e-05
8050, 9.816e-06
8060, 9.829e-06
8070, 9.5e-06
8080, 9.747e-06
8090, 9.36e-06
8100, 9.558e-06
8110, 9.248e-06
8120, 9.326e-06
8130, 9.124e-06
8140, 9.339e-06
8150, 9.37e-06
8160, 9.694e-06
8170, 9.454e-06
8180, 1.0916e-05
8190, 9.345e-06
8200, 9.501e-06
8210, 9.54e-06
8220, 9.502e-06
8230, 9.209e-06
8240, 1.1618e-05
8250, 9.474e-06
8260, 9.511e-06
8270, 9.543e-06
8280, 9.498e-06
8290, 9.654e-06
8300, 9.479e-06
8310, 9.467e-06
8320, 9.698e-06
8330, 9.666e-06
8340, 9.879e-06
8350, 9.655e-06
8360, 9.724e-06
8370, 9.726e-06
8380, 9.65e-06
8390, 9.684e-06
8400, 9.596e-06
8410, 1.5939e-05
8420, 1.069e-05
8430, 1.0193e-05
8440, 1.014e-05
8450, 9.574e-06
8460, 1.1254e-05
8470, 9.896e-06
8480, 9.788e-06
8490, 9.834e-06
8500, 9.557e-06
8510, 1.1758e-05
8520, 9.896e-06
8530, 9.941e-06
8540, 9.696e-06
8550, 9.81e-06
8560, 9.426e-06
8570, 9.612e-06
8580, 9.601e-06
8590, 9.548e-06
8600, 1.0406e-05
8610, 9.716e-06
8620, 9.819e-06
8630, 1.0088e-05
8640, 1.0026e-05
8650, 9.892e-06
8660, 9.764e-06
8670, 9.821e-06
8680, 1.0069e-05
8690, 9.945e-06
8700, 1.0163e-05
8710, 9.917e-06
8720, 1.003e-05
8730, 1.0121e-05
8740, 1.022e-05
8750, 1.0365e-05
8760, 1.1328e-05
8770, 1.1439e-05
8780, 1.0165e-05
8790, 1.0161e-05
8800, 1.0236e-05
8810, 1.0533e-05
8820, 1.2024e-05
8830, 1.0589e-05
8840, 1.0906e-05
8850, 1.0613e-05
8860, 1.0707e-05
8870, 1.0618e-05
8880, 1.0505e-05
8890, 1.0625e-05
8900, 1.079e-05
8910, 1.1474e-05
8920, 1.0734e-05
8930, 1.0805e-05
8940, 1.0756e-05
8950, 1.0823e-05
8960, 1.0967e-05
8970, 1.0971e-05
8980, 1.111e-05
8990, 1.1064e-05
9000, 1.1162e-05
9010, 1.0964e-05
9020, 1.1097e-05
9030, 1.1092e-05
9040, 1.1129e-05
9050, 1.1051e-05
9060, 1.1259e-05
9070, 1.1125e-05
9080, 1.838e-05
9090, 1.179e-05
9100, 1.102e-05
9110, 1.1971e-05
9120, 1.7417e-05
