Vector Size, Broadcast Time (seconds)
4060, 2.482e-06
4070, 2.525e-06
4080, 2.491e-06
4090, 2.466e-06
4100, 2.515e-06
4110, 2.491e-06
4120, 2.515e-06
4130, 2.472e-06
4140, 2.472e-06
4150, 2.47e-06
4160, 2.443e-06
4170, 2.393e-06
4180, 2.455e-06
4190, 2.478e-06
4200, 2.586e-06
4210, 2.436e-06
4220, 2.416e-06
4230, 2.515e-06
4240, 2.5e-06
4250, 2.455e-06
4260, 2.474e-06
4270, 2.456e-06
4280, 2.507e-06
4290, 2.456e-06
4300, 2.502e-06
4310, 2.457e-06
4320, 3.564e-06
4330, 2.577e-06
4340, 3.1684e-05
4350, 2.812e-06
4360, 2.58e-06
4370, 2.504e-06
4380, 2.543e-06
4390, 2.442e-06
4400, 2.717e-06
4410, 2.526e-06
4420, 2.504e-06
4430, 2.496e-06
4440, 2.527e-06
4450, 2.475e-06
4460, 2.529e-06
4470, 2.519e-06
4480, 2.486e-06
4490, 2.669e-06
4500, 2.482e-06
4510, 2.502e-06
4520, 2.526e-06
4530, 2.56e-06
4540, 2.498e-06
4550, 2.522e-06
4560, 2.474e-06
4570, 2.557e-06
4580, 2.509e-06
4590, 2.584e-06
4600, 2.521e-06
4610, 2.753e-06
4620, 2.86e-06
4630, 2.7e-06
4640, 2.763e-06
4650, 2.711e-06
4660, 3.436e-06
4670, 2.729e-06
4680, 2.961e-06
4690, 2.771e-06
4700, 2.834e-06
4710, 2.825e-06
4720, 2.734e-06
4730, 2.804e-06
4740, 2.77e-06
4750, 2.84e-06
4760, 2.857e-06
4770, 2.77e-06
4780, 2.794e-06
4790, 2.824e-06
4800, 0.000118097
4810, 5.767e-06
4820, 4.749e-06
4830, 4.573e-06
4840, 4.507e-06
4850, 4.355e-06
4860, 4.384e-06
4870, 4.382e-06
4880, 4.435e-06
4890, 4.327e-06
4900, 5.499e-06
4910, 4.521e-06
4920, 4.616e-06
4930, 4.521e-06
4940, 4.587e-06
4950, 4.447e-06
4960, 4.573e-06
4970, 4.474e-06
4980, 4.541e-06
4990, 3.783e-06
5000, 3.964e-06
5010, 3.873e-06
5020, 3.761e-06
